Header in export,Discription,Code,Meaning
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM06      ,MAMMO MAMMARY DUCT MULTIPLE                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",709,MG Screening Right                                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",710,MG Screening Right w/CAD                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MRB020    ,MRI BREAST BIL W/ + W/O CONT                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM03    ,MAMMO SCREENING UNILATERAL                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM07    ,MAMMO DIAGNOSTIC UNILATERAL                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",689,MG Ductogram Multi Bilateral                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",690,MG Ductogram Multi Left                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XUSO12    ,OP SONO UNILAT BREAST                             
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM23    ,MAMMO STEREO BIOPSY                               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",691,MG Ductogram Multi Right                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",692,MG Ductogram Single Bilateral                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM00    ,MAMMO SCREENING BILATERAL                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM05    ,MAMMO DIAGNOSTIC BILATERAL                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",693,MG Ductogram Single Left                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",694,MG Ductogram Single Right                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM40    ,MAMMO WITH COMPARISON TO OSF                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XUSO09    ,OP SONO BILAT BREAST                              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM35    ,MAMMO ADD VIEW                                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",676,MG Clip Placement w/o Biopsy                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",695,MG Needle Loc Wire Bilateral                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM14    ,MAMMO MAMMARY DUCT SINGLE                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM25    ,MAMMO NEEDLE LOCALIZATION                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",696,MG Needle Loc Wire Left                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",697,MG Needle Loc Wire Right                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XUSI12    ,IP SONO BREAST                                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XUSO08    ,OP US BREAST BX (NEEDLE CORE)                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",6441,MG Reflector Placement Bilateral                  
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",6439,MG Reflector Placement Left                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM08    ,MAMMO SAME DAY DIAGNOS UNILAT                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM98    ,MAM INCOMPLETE EXAM DOCUMENTED                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",6440,MG Reflector Placement Rt                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",711,MG Specimen Radiograph                            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XUSO07    ,OP US BREAST BX (MAMMOTOME)                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM55    ,MAM OUTSIDE FILM CONSULT NO CH                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2665,MG Specimen Only/Reflector Specimen               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",712,MG Stereo Biopsy Perc Needle Core                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM22    ,MAM STEREO BX VAC ASST W/CLIP                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",US050     ,US BREAST(S)                                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",713,MG Stereo Biopsy w/Vac Asst w/ Clip Bil           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",714,MG Stereo Biopsy w/Vac Asst w/ Clip LT            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM27      ,MM DIGITAL SCREENING MAMMO UNI                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",US035     ,US BREAST BX MAMMOTOME                            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",715,MG Stereo Biopsy w/Vac Asst w/ Clip RT            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",716,MG Stereo Biopsy w/Vac Asst w/o Clip Bil          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM30      ,MM DIAGNOSTIC SAME DAY MAM BIL                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM29      ,MM DIAGNOSTIC SAME DAY MAM UNI                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",717,MG Stereo Biopsy w/Vac Asst w/o Clip LT           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",718,MG Stereo Biopsy w/Vac Asst w/o Clip RT           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM95      ,INCOM EXAM DICTATED                               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM90      ,MM LCRG SCREENING MAMMO                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",719,MG Stereo Needle Loc Wire Bilateral               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",720,MG Stereo Needle Loc Wire Left                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",US040     ,US BREAST BIOPSY NEEDLE CORE                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",US044     ,US BREAST CYST ASPIRATION                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",721,MG Stereo Needle Loc Wire Right                   
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM040     ,MM DIAGNOSTIC MAMMO BIL W/CAD                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM96      ,RADIOLOGIST DICT N/S                              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",723,MG US Breast Cyst Aspiration Bilat                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1571,MG US Breast Cyst Aspiration Left                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM150     ,MM DIAG DIGITAL MAMM BIL/W CAD                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM160     ,MM SCRN DIGIT MAMMO BIL/W CAD                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",724,MG US Breast Cyst Aspiration Right                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",US034     ,US BREAST BX MAMMOTOME/CLIP                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2342,MG US Breast Abscess/Hematoma Asp Left            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2343,MG US Breast Abscess/Hematoma Asp Right           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM270     ,MM SCRN DIGIT MAMMO UNI W/CAD                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM010     ,MM SCREENING MAMMO UNI W/CAD                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",725,MG US Breast Guided Bx w/Vac Asst Bilat           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",726,MG US Breast Guided Bx w/Vac Asst Right           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM020     ,MM SCREENING MAMMO BIL W/CAD                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM140     ,MM DIAG DIGITAL MAMM UNI/CAD                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1572,MG US Breast Guided Bx w/Vac Asst Left            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",727,MG US Breast Guided Core Bx Bilat                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM031     ,MM DIAGNOSTIC MAMMO UNI W/CAD                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",US045     ,US BREAST NEEDLE LOC                              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",728,MG US Breast Guided Core Bx Right                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1573,MG US Breast Guided Core Bx Left                  
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM28      ,MM NO OSF AVAIL/CAT 0 REREAD                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMS05     ,READ O/S FILMS WITH CHARGE                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",722,MG US Breast Bilateral                            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",730,MG US Breast Left                                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BUS02     ,US-HAND HELD/ UNILATERAL                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA13     ,RADIOLOGIST REQUEST O/S FILMS                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",731,MG US Breast Right                                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA19     ,RECALL MAMMOGRAPHY                                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2210,MG US Breast Bilateral Complete                   
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2194,MG US Breast Left Complete                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BUS01     ,US-HAND HELD/ BILATERAL                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMS04     ,READ-OUTSIDE FILMS NO CHARGE                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2196,MG US Breast Right Complete                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2211,MG US Breast Bilateral Limited                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA02     ,WIRE LOCALIZATION UNILATERAL                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA03     ,MAMMOGRAPHY ADD. FILMS EACH                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2197,MG US Breast Right Limited                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2195,MG US Breast Left Limited                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BUS19     ,CYST ASPIRATION UNDER US GUIDE                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",KMA10     ,"CMG MAMMO, BILATERAL 4-6 FILMS                    "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",732,MG US Needle Loc Wire Bilat                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1574,MG US Needle Loc Wire Left                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",KMA15     ,CMG BILATERAL MAMMO SCREENING                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA14     ,UNILATERAL MAMMOGRAM SCREENING                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1575,MG US Needle Loc Wire Right                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",6442,MG US Reflector Placement Left                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA22     ,IMPLANTS BILATERAL SCREENER                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",KMA19     ,CMG RECALL MAMMOGRAPHY                            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",6443,MG US Reflector Placement Right                   
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",6444,MG US Reflector Placement Bilateral               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",HMA10     ,MAMMOGRAPHY/BILATERAL 4 FILMS                     
